issue,date,front01,front02,front03,front04,front05,back01,back02
07001,2007-05-30,22,24,29,31,35,4,11
07002,2007-06-02,15,22,31,34,35,5,12
07003,2007-06-04,3,4,18,23,32,1,6
07004,2007-06-06,6,10,16,17,25,2,4
07005,2007-06-09,1,9,19,20,30,2,11
07006,2007-06-11,1,16,20,23,28,3,6
07007,2007-06-13,14,16,25,26,35,4,9
07008,2007-06-16,2,8,11,21,23,4,7
07009,2007-06-18,1,3,9,19,34,9,12
07010,2007-06-20,6,8,18,29,34,9,11
07011,2007-06-23,29,32,33,34,35,9,10
07012,2007-06-25,3,12,15,29,34,7,11
07013,2007-06-27,12,17,27,29,34,6,9
07014,2007-06-30,1,2,7,29,32,6,7
07015,2007-07-02,2,8,12,13,17,11,12
07016,2007-07-04,1,14,19,24,31,3,12
07017,2007-07-07,13,14,29,32,34,3,12
07018,2007-07-09,3,4,16,23,28,6,9
07019,2007-07-11,3,6,17,22,23,4,6
07020,2007-07-14,2,6,11,12,18,5,12
07021,2007-07-16,2,4,24,29,33,1,2
07022,2007-07-18,8,10,12,23,25,3,10
07023,2007-07-21,8,10,23,32,34,8,10
07024,2007-07-23,6,16,20,25,31,4,9
07025,2007-07-25,22,24,26,27,34,2,10
07026,2007-07-28,5,9,13,33,35,1,8
07027,2007-07-30,2,3,10,19,27,6,10
07028,2007-08-01,20,26,30,34,35,3,10
07029,2007-08-04,15,22,25,29,35,9,11
07030,2007-08-06,11,14,27,33,35,2,7
07031,2007-08-08,3,21,27,31,32,6,8
07032,2007-08-11,1,13,21,23,32,4,11
07033,2007-08-13,1,5,8,14,22,3,12
07034,2007-08-15,6,8,11,13,22,2,11
07035,2007-08-18,7,11,16,31,32,1,12
07036,2007-08-20,15,18,21,27,34,1,2
07037,2007-08-22,1,6,7,17,31,11,12
07038,2007-08-25,6,21,25,27,32,8,9
07039,2007-08-27,10,11,20,21,35,7,11
07040,2007-08-29,5,21,25,28,35,1,4
07041,2007-09-01,3,16,17,22,35,1,8
07042,2007-09-03,7,10,22,31,35,5,6
07043,2007-09-05,4,9,22,24,31,2,6
07044,2007-09-08,4,5,7,12,26,1,10
07045,2007-09-10,9,16,20,26,35,11,12
07046,2007-09-12,4,16,18,23,30,1,10
07047,2007-09-15,1,6,15,19,35,2,9
07048,2007-09-17,8,25,26,29,35,6,8
07049,2007-09-19,9,10,15,17,32,4,6
07050,2007-09-22,13,21,22,30,35,1,11
07051,2007-09-24,3,7,24,28,35,8,11
07052,2007-09-26,1,14,29,32,33,5,10
07053,2007-09-29,11,16,19,21,25,1,10
07054,2007-10-01,4,10,19,29,34,3,6
07055,2007-10-03,10,16,24,31,33,7,10
07056,2007-10-06,4,11,17,20,21,5,9
07057,2007-10-08,14,16,30,32,35,6,7
07058,2007-10-10,8,21,25,28,33,2,6
07059,2007-10-13,4,15,23,31,33,3,9
07060,2007-10-15,12,13,29,30,31,4,7
