issue,date,front01,front02,front03,front04,front05,back01,back02
07001,2007-01-01,14,16,22,25,27,2,10
07002,2007-01-03,1,24,28,29,30,11,12
07003,2007-01-05,6,14,20,21,32,2,4
07004,2007-01-07,8,21,30,31,33,2,3
07005,2007-01-10,4,11,16,23,33,9,10
07006,2007-01-12,19,21,27,28,29,5,11
07007,2007-01-14,7,13,17,29,33,10,11
07008,2007-01-17,9,11,18,31,35,2,11
07009,2007-01-19,4,5,12,34,35,2,6
07010,2007-01-21,3,16,24,33,35,5,9
07011,2007-01-24,4,11,14,24,25,6,8
07012,2007-01-26,6,7,9,27,32,5,8
07013,2007-01-28,6,14,22,27,29,2,7
07014,2007-01-30,1,2,6,8,31,3,12
07015,2007-02-02,18,25,28,31,34,6,12
07016,2007-02-04,2,10,24,31,32,1,3
07017,2007-02-06,4,12,24,32,33,2,8
07018,2007-02-09,7,12,15,25,32,8,10
07019,2007-02-11,13,16,22,30,32,1,12
07020,2007-02-13,7,25,26,30,32,4,7
07021,2007-02-16,1,8,16,17,29,3,12
07022,2007-02-18,15,23,28,29,31,5,10
07023,2007-02-20,7,9,18,23,33,3,9
07024,2007-02-22,7,10,25,27,32,7,9
07025,2007-02-25,5,9,12,22,24,3,10
07026,2007-02-27,1,3,7,19,27,6,11
07027,2007-03-01,10,12,13,16,29,1,11
07028,2007-03-04,2,4,12,14,19,4,7
07029,2007-03-06,15,24,26,34,35,1,9
07030,2007-03-08,7,8,17,22,25,5,10
07031,2007-03-11,3,8,15,19,35,3,4
07032,2007-03-13,12,13,14,18,24,3,7
07033,2007-03-15,4,13,16,24,26,3,8
07034,2007-03-17,1,6,30,31,32,4,10
07035,2007-03-20,9,19,22,23,30,5,6
07036,2007-03-22,12,16,17,26,34,5,7
07037,2007-03-24,1,7,17,20,31,4,10
07038,2007-03-27,14,17,18,20,25,8,9
07039,2007-03-29,8,17,22,25,27,6,7
07040,2007-03-31,10,12,16,18,22,7,11
07041,2007-04-03,2,9,11,20,29,7,10
07042,2007-04-05,3,5,7,24,34,3,11
07043,2007-04-07,2,5,16,20,24,8,11
07044,2007-04-09,2,16,20,23,28,1,12
07045,2007-04-12,11,22,24,28,29,10,11
07046,2007-04-14,2,7,13,27,32,6,7
07047,2007-04-16,3,16,29,30,34,4,9
07048,2007-04-19,7,10,17,24,32,4,8
07049,2007-04-21,4,13,23,27,33,1,10
07050,2007-04-23,1,9,10,22,24,3,4
07051,2007-04-26,6,14,30,33,34,5,6
07052,2007-04-28,8,12,20,26,32,2,9
07053,2007-04-30,9,10,11,15,29,2,6
07054,2007-05-02,3,9,10,11,14,5,10
07055,2007-05-05,1,8,26,27,32,3,5
07056,2007-05-07,1,17,19,23,29,5,12
07057,2007-05-09,2,9,12,31,33,1,8
07058,2007-05-12,7,10,14,20,25,3,6
07059,2007-05-14,4,6,24,31,35,1,6
07060,2007-05-16,1,11,12,13,34,5,7
07061,2007-05-19,2,4,10,18,32,6,11
07062,2007-05-21,13,14,18,24,31,3,5
07063,2007-05-23,2,13,22,28,33,1,12
07064,2007-05-25,2,5,8,10,32,6,12
07065,2007-05-28,11,12,15,16,18,3,11
07066,2007-05-30,3,15,27,32,33,3,4
07067,2007-06-01,15,20,30,31,34,3,8
07068,2007-06-04,1,13,18,25,34,5,10
07069,2007-06-06,1,13,17,18,33,6,11
07070,2007-06-08,7,28,30,34,35,11,12
07071,2007-06-11,8,10,14,18,32,5,12
07072,2007-06-13,10,25,29,30,31,2,6
07073,2007-06-15,5,10,12,16,23,2,7
07074,2007-06-17,11,16,21,30,32,5,9
07075,2007-06-20,2,5,7,9,15,2,3
07076,2007-06-22,2,4,6,9,28,3,5
07077,2007-06-24,1,8,16,18,29,4,11
07078,2007-06-27,1,5,16,26,35,2,12
07079,2007-06-29,7,9,14,19,21,8,12
07080,2007-07-01,1,8,12,14,21,2,6
07081,2007-07-04,1,12,23,27,31,8,11
07082,2007-07-06,2,5,6,16,29,1,12
07083,2007-07-08,6,10,27,29,33,1,10
07084,2007-07-10,4,12,18,24,34,2,10
07085,2007-07-13,3,5,6,11,34,3,8
07086,2007-07-15,20,21,22,23,34,2,4
07087,2007-07-17,1,6,13,34,35,2,5
07088,2007-07-20,15,16,20,29,31,2,10
07089,2007-07-22,3,11,19,31,34,6,12
07090,2007-07-24,6,16,24,25,33,2,5
07091,2007-07-27,4,7,12,29,31,7,11
07092,2007-07-29,5,15,27,30,34,1,8
07093,2007-07-31,6,20,23,28,33,3,9
07094,2007-08-02,6,8,14,21,28,5,7
07095,2007-08-05,7,11,21,22,28,2,8
07096,2007-08-07,3,5,13,24,31,2,11
07097,2007-08-09,5,8,10,18,21,5,12
07098,2007-08-12,20,26,31,34,35,4,5
07099,2007-08-14,3,21,30,31,34,3,5
07100,2007-08-16,1,4,11,19,30,1,2
07101,2007-08-19,7,12,13,14,23,5,11
07102,2007-08-21,12,13,14,24,31,4,5
07103,2007-08-23,2,15,21,31,32,7,11
07104,2007-08-25,8,12,19,21,29,2,7
07105,2007-08-28,2,8,15,30,33,2,4
07106,2007-08-30,7,9,24,25,31,1,2
07107,2007-09-01,4,6,20,31,35,2,4
07108,2007-09-04,4,8,23,31,32,5,12
07109,2007-09-06,5,6,7,24,28,2,12
07110,2007-09-08,1,7,19,22,30,7,8
07111,2007-09-11,2,9,24,25,34,1,9
07112,2007-09-13,9,23,26,30,34,5,10
07113,2007-09-15,7,8,9,12,13,8,9
07114,2007-09-17,2,5,9,20,21,10,11
07115,2007-09-20,2,6,19,24,31,4,10
07116,2007-09-22,2,6,16,19,27,1,5
07117,2007-09-24,4,6,15,18,27,5,10
07118,2007-09-27,1,10,20,21,22,4,8
07119,2007-09-29,5,9,11,14,19,3,8
07120,2007-10-01,5,24,32,33,34,7,12
07121,2007-10-04,4,10,12,19,28,1,11
07122,2007-10-06,5,25,27,33,35,7,12
07123,2007-10-08,10,11,13,19,23,2,3
07124,2007-10-10,1,2,9,19,32,11,12
07125,2007-10-13,4,11,14,29,33,4,7
07126,2007-10-15,10,16,18,19,31,7,8
07127,2007-10-17,10,12,22,29,35,1,4
07128,2007-10-20,2,21,22,27,28,2,11
07129,2007-10-22,4,6,20,29,35,7,12
07130,2007-10-24,1,5,14,22,29,3,10
07131,2007-10-27,1,8,17,22,25,1,10
07132,2007-10-29,8,14,17,21,33,6,8
07133,2007-10-31,6,9,19,22,23,3,5
07134,2007-11-02,3,4,6,7,27,5,11
07135,2007-11-05,7,11,16,23,35,2,9
07136,2007-11-07,4,10,24,27,28,10,11
07137,2007-11-09,10,12,19,25,31,2,10
07138,2007-11-12,1,5,17,30,31,2,6
07139,2007-11-14,1,8,22,23,33,5,8
07140,2007-11-16,3,8,11,12,13,3,5
07141,2007-11-19,1,12,13,22,33,3,11
07142,2007-11-21,8,13,14,20,24,3,7
07143,2007-11-23,1,2,20,24,29,2,11
07144,2007-11-25,18,22,26,27,32,10,11
07145,2007-11-28,11,12,17,21,29,1,6
07146,2007-11-30,9,14,25,30,31,2,6
07147,2007-12-02,14,16,20,22,26,2,3
07148,2007-12-05,7,12,26,31,32,4,10
07149,2007-12-07,1,3,5,26,30,6,11
07150,2007-12-09,1,6,20,22,24,6,8
08001,2007-12-12,12,21,24,33,35,5,12
08002,2007-12-14,1,9,16,26,30,2,10
08003,2007-12-16,15,24,28,30,32,9,12
08004,2007-12-18,11,16,21,26,31,6,8
08005,2007-12-21,12,15,22,23,32,1,8
08006,2007-12-23,12,23,29,31,35,1,2
08007,2007-12-25,4,5,16,27,35,6,10
08008,2007-12-28,6,24,25,28,31,8,10
08009,2007-12-30,9,11,17,21,35,10,12
08010,2008-01-01,5,8,11,26,34,3,4
08011,2008-01-04,3,6,12,19,27,6,8
08012,2008-01-06,14,20,30,34,35,5,9
08013,2008-01-08,6,9,18,29,32,8,11
08014,2008-01-10,1,9,15,30,32,8,10
08015,2008-01-13,13,15,19,34,35,4,9
08016,2008-01-15,3,13,19,30,34,4,5
08017,2008-01-17,3,22,26,28,33,7,12
08018,2008-01-20,9,19,22,31,32,1,5
08019,2008-01-22,1,3,6,20,23,7,11
08020,2008-01-24,11,15,17,22,32,2,3
08021,2008-01-27,6,17,21,27,28,9,11
08022,2008-01-29,3,5,13,18,20,5,10
08023,2008-01-31,6,7,8,9,25,1,3
08024,2008-02-02,3,10,19,22,29,2,3
08025,2008-02-05,11,14,17,20,28,4,10
08026,2008-02-07,1,10,12,28,31,4,11
08027,2008-02-09,3,5,8,9,33,4,5
08028,2008-02-12,3,17,18,24,34,2,8
08029,2008-02-14,9,11,20,29,32,2,7
08030,2008-02-16,1,5,15,19,28,2,3
08031,2008-02-19,14,17,19,29,32,9,10
08032,2008-02-21,9,14,30,32,33,1,6
08033,2008-02-23,12,20,22,29,32,7,9
08034,2008-02-25,7,8,13,14,34,6,8
08035,2008-02-28,2,3,17,29,35,2,10
08036,2008-03-01,12,15,17,20,32,6,8
08037,2008-03-03,6,7,14,19,31,1,10
08038,2008-03-06,14,27,31,32,34,1,8
08039,2008-03-08,6,8,13,34,35,6,10
08040,2008-03-10,1,8,19,21,32,2,3
08041,2008-03-13,11,15,28,29,33,4,9
08042,2008-03-15,1,9,18,19,23,7,11
08043,2008-03-17,3,4,6,13,29,8,9
08044,2008-03-19,3,5,19,20,31,3,4
08045,2008-03-22,8,20,22,23,27,1,10
08046,2008-03-24,4,7,12,20,34,2,3
08047,2008-03-26,4,6,10,13,16,2,6
08048,2008-03-29,10,11,17,21,28,3,7
08049,2008-03-31,6,20,22,30,33,4,8
08050,2008-04-02,10,11,28,31,32,9,11
08051,2008-04-05,4,8,18,19,34,2,10
08052,2008-04-07,1,6,13,29,34,1,5
08053,2008-04-09,1,4,13,16,35,6,11
08054,2008-04-11,5,9,18,24,28,3,9
08055,2008-04-14,6,12,15,27,33,3,10
08056,2008-04-16,1,13,27,32,34,1,2
08057,2008-04-18,4,20,25,27,32,7,11
08058,2008-04-21,10,13,25,29,35,3,8
08059,2008-04-23,16,18,23,26,27,1,2
08060,2008-04-25,5,6,15,17,34,2,4
08061,2008-04-28,9,12,22,23,24,9,12
08062,2008-04-30,1,4,20,24,32,2,12
08063,2008-05-02,4,15,24,28,34,7,11
08064,2008-05-04,16,18,20,28,35,3,12
08065,2008-05-07,6,8,18,21,22,6,12
08066,2008-05-09,8,16,18,20,34,8,11
08067,2008-05-11,3,11,27,31,32,5,9
08068,2008-05-14,1,6,23,30,34,3,12
08069,2008-05-16,9,18,21,29,31,1,6
08070,2008-05-18,12,14,16,17,19,3,10
08071,2008-05-21,8,9,10,12,27,4,9
08072,2008-05-23,16,25,26,29,31,3,8
08073,2008-05-25,6,8,17,22,28,3,8
08074,2008-05-27,3,9,17,18,22,5,8
08075,2008-05-30,4,6,7,12,21,3,6
08076,2008-06-01,4,7,17,27,33,3,8
08077,2008-06-03,1,2,12,29,32,4,10
08078,2008-06-06,5,8,19,24,26,1,5
08079,2008-06-08,1,2,7,13,23,1,7
08080,2008-06-10,5,7,19,24,27,5,8
08081,2008-06-13,3,4,16,21,34,5,7
08082,2008-06-15,4,6,8,14,29,7,9
08083,2008-06-17,3,8,26,28,32,2,6
08084,2008-06-19,5,6,13,18,22,3,9
08085,2008-06-22,3,13,26,32,35,6,8
08086,2008-06-24,4,14,15,31,35,10,11
08087,2008-06-26,1,4,7,12,26,1,12
08088,2008-06-29,12,13,14,19,28,1,10
08089,2008-07-01,18,24,26,29,35,4,5
08090,2008-07-03,2,13,16,25,26,1,9
08091,2008-07-06,2,3,4,23,33,6,9
08092,2008-07-08,19,21,22,29,31,4,10
08093,2008-07-10,2,8,15,21,33,5,8
08094,2008-07-12,1,5,15,24,33,8,12
08095,2008-07-15,8,13,21,29,32,7,12
08096,2008-07-17,7,8,14,16,33,1,2
08097,2008-07-19,2,4,5,10,32,7,10
08098,2008-07-22,6,10,11,32,33,2,8
08099,2008-07-24,4,13,22,30,35,9,12
08100,2008-07-26,2,9,12,14,15,1,7
08101,2008-07-29,3,14,15,24,33,4,7
08102,2008-07-31,2,3,21,24,30,3,12
08103,2008-08-02,11,12,15,21,24,8,11
